,PassengerId,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Deck,Num,Side,Group,TotalExpenses
750,0789_01,Europa,False,TRAPPIST-1e,31.0,True,0.0,166.0,4.0,2177.0,342.0,False,A,8,S,0789,2689.0
741,0777_01,Europa,False,TRAPPIST-1e,30.0,False,0.0,3004.0,0.0,1018.0,0.0,False,A,5,P,0777,4022.0
1177,1243_02,Europa,False,TRAPPIST-1e,32.0,False,8168.0,69.0,11.0,371.0,0.0,False,A,9,P,1243,8619.0
751,0789_02,Europa,False,TRAPPIST-1e,30.0,False,0.0,142.0,870.0,89.0,3497.0,False,A,8,S,0789,4598.0
752,0789_03,Europa,True,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,0.0,True,A,8,S,0789,0.0
762,0799_01,Europa,False,55 Cancri e,,False,0.0,3462.0,5.0,1590.0,4.0,False,A,6,P,0799,5061.0
6472,6827_04,Europa,True,TRAPPIST-1e,12.0,False,0.0,0.0,0.0,0.0,0.0,True,A,84,S,6827,0.0
6471,6827_03,Europa,True,TRAPPIST-1e,50.0,False,0.0,0.0,0.0,0.0,0.0,True,A,84,S,6827,0.0
1176,1243_01,Europa,False,TRAPPIST-1e,41.0,False,0.0,4224.0,0.0,1374.0,1281.0,False,A,9,P,1243,6879.0
5160,5512_01,Europa,False,55 Cancri e,31.0,False,0.0,225.0,0.0,301.0,4090.0,False,A,67,S,5512,4616.0
6470,6827_02,Europa,True,TRAPPIST-1e,14.0,False,0.0,0.0,0.0,0.0,0.0,True,A,84,S,6827,0.0
1747,1860_02,Europa,False,55 Cancri e,35.0,False,95.0,3441.0,0.0,391.0,318.0,False,A,13,P,1860,4245.0
181,0202_02,Europa,False,55 Cancri e,,False,0.0,2433.0,,878.0,443.0,True,A,2,P,0202,3754.0
6469,6827_01,Europa,False,55 Cancri e,73.0,False,181.0,1.0,840.0,2618.0,1949.0,False,A,84,S,6827,5589.0
238,0255_01,Europa,True,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,True,A,3,S,0255,0.0
3918,4182_01,Europa,False,55 Cancri e,33.0,False,0.0,2020.0,0.0,1817.0,182.0,False,A,51,S,4182,4019.0
6343,6708_06,Europa,True,55 Cancri e,41.0,True,0.0,0.0,0.0,0.0,,True,A,67,P,6708,0.0
